No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	12	100nF	C1,C2,C2,C3,C4,C5,C6,C7,C8,C11,C12,C17	C0603	100nF	CT41G-0603-2X1-50V-0.1uF-K(N)	TORCH(火炬)	C125205	LCSC
2	2	1uF	C9,C10	C0603	1uF	CL10A105KB8NNNC	SAMSUNG(三星)	C15849	LCSC
3	2	10uF	C13,C14	C0603	10uF	CL10A106MA8NRNC	SAMSUNG(三星)	C96446	LCSC
4	2	15pF	C15,C16	C0603	15pF	CL10C150JB8NNNC	SAMSUNG(三星)	C1644	LCSC
5	2	2.54-1*20P直针	H1,H2	HDR-TH_20P-P2.54-V-M-1		2.54-1*20P直针	BOOMELE(博穆精密)	C50981	LCSC
6	1	2.54-1*3P针	H3	HDR-TH_3P-P2.54-V-M-1		2.54-1*3P针	BOOMELE(博穆精密)	C49257	LCSC
7	2	27kΩ	R1,R2	R0603	27kΩ	0603WAF2702T5E	UNI-ROYAL(厚声)	C22967	LCSC
8	2	1kΩ	R3,R5	R0603	1kΩ	RC0603FR-071KL	YAGEO(国巨)	C22548	LCSC
9	1	10kΩ	R4	R0603	10kΩ	RC0603FR-0710KL	YAGEO(国巨)	C98220	LCSC
10	1	KEY_2S3mm*4mm-带定位柱	SW2	KEY-SMD_L4.0-W3.7-LS4.8		KEY_2S3mm*4mm-带定位柱		C9900019844	LCSC
11	1	RP2040	U1	QFN-56_L7.0-W7.0-P0.40-TL-EP4.0		RP2040	Raspberry Pi(树莓派)	C2961140	LCSC
12	1	NCP1117DT33G	U2	TO-252_L6.5-W6.1-P4.58-LS9.9-BR		NCP1117DT33G	onsemi(安森美)	C154606	LCSC
13	1	W25Q128JVSIQ	U3	SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL		W25Q128JVSIQ	Winbond(华邦)	C113767	LCSC
14	1	USB-212-BCW	USB1	USB-A-SMD_USB-212-BCW		USB-212-BCW	XUNPU(讯普)	C720521	LCSC
15	1	12MHz	X1	CRYSTAL-SMD_4P-L3.2-W2.5-BL	12MHz	X322512MSB4SI	YXC(扬兴晶振)	C9002	LCSC
